Nationality,Name,Overall Rank,Cumulative Score
CHN,Xiao Ruoteng,1,86.933
CHN,Lin Chaopan,2,86.448
JPN,Kenzo Shirai,3,86.43099999999998
RUS,David Belyavskiy,4,86.31500000000001
CUB,Manrique Larduet,5,86.03099999999999
GBR,Nile Wilson,6,85.332
USA,Yul Moldauer,7,84.99799999999999
UKR,Oleg Verniaiev,8,83.99699999999999
TUR,Ahmet Onder,9,83.831
RUS,Nikita Nagornyy,10,83.239
COL,Jo Calvo Moreno,11,83.031
SUI,Pablo Braegger,12,82.732
ARM,Artur Davtyan,13,82.332
KOR,Garam Bae,14,80.532
BRA,Caio Souza,15,80.53099999999999
CYP,Marios Georgiou,16,80.23299999999999
LTU,Robert Tvorogal,17,80.232
GER,Philipp Herder,18,80.166
SUI,Eddy Yusof,19,80.164
TUR,Ferhat Arican,20,80.03999999999999
CAN,Zachary Clay,21,79.899
LTU,Tomas Kuzmickas,22,79.66399999999999
MEX,Kevin Cerda,23,76.93099999999998
SP,Joel Plata Rodriguez,24,76.69800000000001
